Make,,Make_Year,CC,Assembly,Registered City,Transmission,,Price,Categories
Mitsubishi,,2019,660,Imported,Lahore,Automatic,,1065000,FALSE
Audi,,2015,1800,Local,Lahore,Automatic,,9300000,10-15 lac
Toyota,,2014,1500,Imported,Islamabad,Automatic,,2375000,50-100 lac
Honda,,2017,1300,Local,Islamabad,Manual,,2600000,20-25 lac
Toyota,,2017,1300,Local,Lahore,Automatic,,2500000,25-50 lac
Suzuki,,2012,1000,Local,Lahore,Manual,,1130000,20-25 lac
Toyota,,2014,1000,Imported,Islamabad,Automatic,,1760000,10-15 lac
Toyota,,2011,1800,Imported,Karachi,Automatic,,2500000,15-20 lac
Toyota,,2017,1000,Imported,Lahore,Automatic,,1950000,20-25 lac
Honda,,2017,1300,Local,Islamabad,Manual,,2440000,15-20 lac
Toyota,,2006,1300,Imported,Lahore,Automatic,,1400000,20-25 lac
Honda,,2001,1600,Local,Lahore,Automatic,,1100000,10-15 lac
Toyota,,2011,3000,Imported,Karachi,Automatic,,3500000,10-15 lac
Toyota,,2008,1300,Local,Lahore,Manual,,1350000,25-50 lac
Suzuki,,2017,1000,Local,Karachi,Manual,,1700000,10-15 lac
Toyota,,2005,1800,Imported,Islamabad,Automatic,,1750000,15-20 lac
Honda,,2007,1800,Local,Lahore,Automatic,,1630000,15-20 lac
Toyota,,2005,1300,Local,Lahore,Manual,,1160000,15-20 lac
Toyota,,2006,1000,Imported,Karachi,Automatic,,1050000,10-15 lac
Suzuki,,2015,800,Imported,Lahore,Manual,,780000,10-15 lac
Toyota,,2011,1800,Imported,Karachi,Automatic,,2500000,5-10 lac
MG,,2021,1500,Local,Un-Registered,Automatic,,5485000,20-25 lac
KIA,,2021,2000,Local,Un-Registered,Automatic,,5250000,50-100 lac
Honda,,2005,1500,Local,Karachi,Automatic,,1200000,50-100 lac
Toyota,,2019,1600,Local,Lahore,Automatic,,1875000,10-15 lac
Honda,,2014,1500,Imported,Lahore,Automatic,,1675000,15-20 lac
Toyota,,2021,1500,Local,Lahore,Automatic,,1575000,15-20 lac
Daihatsu,,2011,660,Imported,Lahore,Automatic,,1285000,15-20 lac
KIA,,2021,2000,Local,Karachi,Automatic,,5300000,10-15 lac
Honda,,2021,1300,Local,Un-Registered,Manual,,2600000,50-100 lac
Honda,,2018,1800,Local,Karachi,Automatic,,3760000,25-50 lac
Honda,,2011,1800,Local,Lahore,Automatic,,1800000,25-50 lac
